domain,pattern,description,example,anti_pattern,tailwind_mapping
figma,atom-button-variants,Button component with 4 variants (primary/secondary/ghost/destructive) and 3 sizes using Auto Layout,"Variant grid: Variant=primary/secondary/ghost/destructive × Size=sm/md/lg × State=default/hover/focus/disabled/loading",Single button frame duplicated manually for each state,bg-primary text-primary-foreground hover:bg-primary/90 h-9 px-4 rounded-md
figma,atom-badge-states,Badge component with semantic color variants mapped to status values,"Variant=default/success/warning/destructive/outline using color tokens not raw hex",Using raw hex colors instead of Variables,bg-green-500/10 text-green-700 border border-green-200 rounded-full px-2 py-0.5 text-xs
figma,atom-input-states,Input field with 5 explicit states using border color tokens,"State=default(border/border) focus(border/primary) error(border/destructive) disabled(bg/muted) filled(text present)",Missing error state — only default and focus defined,border border-input bg-background rounded-md px-3 h-9 text-sm focus:border-ring
figma,molecule-form-field,FormField composing Label + Input + HelperText as vertical Auto Layout,"Gap: 6px between Label and Input, 4px between Input and HelperText. HelperText color switches from muted-foreground to destructive in error state",Positioning label/input/helper independently without Auto Layout,flex flex-col gap-1.5 [&>label]:text-sm [&>label]:font-medium
figma,molecule-stat-card,StatCard with icon + large value + label + optional delta badge,"Auto Layout vertical, gap-2, padding-16. Value: text-2xl font-bold. Label: text-sm text-muted-foreground. Delta: Badge with +/- prefix",Fixed pixel positioning instead of Auto Layout,p-4 rounded-lg border bg-card flex flex-col gap-2
figma,organism-data-table,DataTable with header row + data rows + empty state + pagination,"Column headers: font-medium text-muted-foreground text-xs uppercase. Rows: hover:bg-muted/50. Empty: centered icon + message + optional CTA",No empty state defined — undefined behavior when data is empty,w-full border-collapse [&_th]:px-4 [&_th]:py-3 [&_td]:px-4 [&_td]:py-3 [&_tr]:border-b
figma,organism-sidebar-nav,Navigation sidebar with logo + nav items + user footer,"Width: 240px fixed. NavItems: horizontal Auto Layout gap-2 icon+label, active=bg-accent. Bottom: user avatar + name + logout",Sidebar with absolute positioned items — breaks on resize,w-60 flex flex-col border-r bg-card h-screen
figma,template-dashboard-layout,Dashboard layout with sidebar + topbar + scrollable content area,"Sidebar: 240px fixed left. Topbar: 56px fixed top. Content: flex-1 overflow-y-auto. Three-column inner grid: 8-column main + 4-column aside",Full page layout in single frame without proper constraints,flex h-screen overflow-hidden [&>aside]:w-60 [&>main]:flex-1 [&>main]:overflow-y-auto
figma,token-color-system,Figma Variables mapped to CSS custom properties and Tailwind config,"background→--background, foreground→--foreground, primary→--primary, muted→--muted, border→--border, card→--card, destructive→--destructive",Using raw hex in component colors instead of Variable aliases,hsl(var(--primary)) / hsl(var(--primary-foreground))
figma,token-spacing-system,Spacing tokens as multiples of 4px base unit mapped to Tailwind scale,"space-1=4px p-1, space-2=8px p-2, space-4=16px p-4, space-6=24px p-6, space-8=32px p-8",Arbitrary pixel values not matching 4px grid,p-1=4px p-2=8px p-3=12px p-4=16px p-5=20px p-6=24px
figma,token-typography-system,Typography tokens: size + weight + line-height mapped to Tailwind text scale,"xs=12px/16px, sm=14px/20px, base=16px/24px, lg=18px/28px, xl=20px/28px, 2xl=24px/32px. Weights: normal=400 medium=500 semibold=600 bold=700",Arbitrary font sizes not on the scale — creates visual inconsistency,text-xs text-sm text-base text-lg text-xl text-2xl font-normal font-medium font-semibold font-bold
figma,token-radius-system,Border radius tokens mapped to Tailwind rounded scale,"sm=4px rounded-sm, md=8px rounded-md, lg=12px rounded-lg, xl=16px rounded-xl, full=9999px rounded-full",Inconsistent radius values across components — some 6px some 8px some 10px,rounded-sm=4px rounded-md=8px rounded-lg=12px rounded-xl=16px rounded-full=9999px
figma,auto-layout-card-pattern,Card component Auto Layout recipe,"Outer: Vertical Auto Layout, padding=16px, gap=12px, hug-height, fill-width. Inner row: Horizontal, space-between. Border: 1px Variables/border",Fixed height card — breaks when content wraps,p-4 rounded-lg border bg-card flex flex-col gap-3
figma,auto-layout-horizontal-list,Horizontal list with wrapping for responsive,"Wrap=Wrap, gap=8px horizontal 8px vertical, padding=0. Items hug content",Non-wrapping horizontal row — overflows on mobile,flex flex-wrap gap-2
figma,auto-layout-page-section,Page section with max-width constraint and centered content,"Outer: Fill width. Inner: Max-width=1280px, margin auto, padding=0 24px. Content: Vertical Auto Layout",Section at full bleed without max-width — too wide on large screens,max-w-[1280px] mx-auto px-6
figma,variant-button-loading,Button loading state with spinner replacing label,"Spinner: 16px circle stroke animation. Label hidden in loading state. Width stays fixed (avoid layout shift). State=Loading in variant grid",Loading state that changes button width — causes layout jump,relative [&[aria-busy=true]>span]:opacity-0 [&[aria-busy=true]>svg]:animate-spin
figma,variant-data-empty-state,Empty state component with icon + heading + subtext + optional CTA,"Centered in container. Icon: 48px muted-foreground. Heading: text-lg font-semibold. Sub: text-sm text-muted-foreground. CTA: ghost button",Empty state just showing plain text 'No data' — missed opportunity for guidance,flex flex-col items-center justify-center gap-3 py-12 text-center
figma,variant-alert-semantic,Alert with 4 semantic variants using border-left treatment,"info/success/warning/error. Left border 4px in semantic color. Icon matches variant. Title: font-medium. Body: text-sm text-muted-foreground",Generic gray box for all alert types — loses urgency signaling,border-l-4 border-destructive bg-destructive/5 p-4 rounded-r-md
figma,production-file-structure,Figma file page organization for production projects,"Pages: Cover / Design System / Components / Screens / Prototypes / Archive. No mixing components with screens. Archive not delete deprecated",All content in single page — unmanageable at scale,N/A
figma,dev-handoff-naming,Layer naming convention for clean developer handoff,"Frames: PascalCase matching component names. Groups: descriptive kebab-case. No default names (Frame 42 Rectangle 8). Prefix icons: icon/",Default Figma names — developers can't identify elements,N/A
figma,component-page-header,Page header organism: title + breadcrumb + action area,"Auto Layout horizontal space-between. Left: vertical (breadcrumb text-xs muted) + (title text-2xl font-bold). Right: horizontal gap-2 action buttons",No consistent page header — each page invents its own,flex items-start justify-between py-4 [&>h1]:text-2xl [&>h1]:font-bold
figma,trading-dashboard-metric-row,Metric row for trading dashboard: pair + direction badge + entry + current + pnl,"5-column horizontal layout. Direction: Badge long=blue short=red. PnL: font-mono positive=green negative=red",PnL as plain text — missed semantic color coding,grid grid-cols-5 items-center px-4 py-3 text-sm font-mono [data-positive]:text-green-500 [data-negative]:text-red-500
figma,trading-chart-equity-curve,Equity curve AreaChart production spec,"Area fill: primary/20 opacity. Stroke: primary. ReferenceLine at start capital: muted dashed. Tooltip: formatted as $X,XXX. XAxis: date format MMM DD",Line chart without fill — loses visual equity sense. No reference line — hard to see gains vs losses,stroke-primary fill-primary/20
figma,dark-theme-surface-hierarchy,Dark theme surface layering (background → card → popover → overlay),"background: hsl(224 71% 4%). card: hsl(224 71% 6%). popover/modal: hsl(224 71% 8%). Tooltip: hsl(224 71% 10%). Always use tokens not values",All surfaces same color — no depth hierarchy,bg-background → bg-card → bg-popover
figma,mobile-breakpoint-strategy,Responsive breakpoint strategy for dashboard components,"sm=640px tablet-portrait, md=768px tablet-landscape, lg=1024px desktop. Sidebar: hidden below lg (becomes bottom nav). Grid: 1-col mobile → 2-col md → 3-col lg",No mobile breakpoints — assumes desktop only,sm:grid-cols-2 lg:grid-cols-3 lg:flex [max-lg]:hidden
